Rank,Name,Current club,Stints,Games,Career Elo ⌀,Total Elo +/-,Avg Elo +/-,Coach Rating
241,Eusebio Di Francesco,Venezia,9,369,1627,-82,-9,1582
242,Andrea Sottil,none (since 2023-10-24),3,110,1512,+104,+35,1581
243,Paulo Sousa,none (since 2023-10-09),9,387,1585,-8,-1,1581
244,Asier Garitano,none (since 2024-06-30),7,303,1603,-40,-6,1580
245,Dirk Schuster,none (since 2023-11-30),5,234,1485,+159,+32,1580
246,Álvaro Cervera,none (since 2023-09-21),7,428,1547,+56,+8,1579
247,Peter Bosz,PSV,10,565,1589,-21,-2,1577
248,Ertuğrul Sağlam,Kocaelispor,8,395,1534,+76,+10,1576
249,Andrea Pirlo,Sampdoria,3,121,1585,-15,-5,1576
250,Erling Moe,Molde,2,243,1546,+36,+18,1573
251,Wouter Vrancken,Gent,3,208,1495,+116,+39,1572
252,Uwe Neuhaus,none (since 2021-03-01),4,329,1470,+163,+41,1571
253,Tony Mowbray,none (since 2024-05-21),8,669,1498,+129,+16,1571
254,Stanislav Cherchesov,none (since 2023-07-19),7,323,1547,+37,+5,1568
255,Jocelyn Gourvennec,none (since 2024-03-16),5,343,1557,+19,+4,1568
256,Gary Rowett,none (since 2024-06-05),5,373,1506,+104,+21,1568
257,Pasquale Marino,none (since 2024-02-05),14,440,1546,+40,+3,1568
258,Karel Jarolím,none (since 2022-02-22),8,511,1527,+70,+9,1567
259,Ole Gunnar Solskjær,none (since 2021-11-21),4,385,1582,-25,-6,1566
260,Ivaylo Petev,none (since 2024-04-10),6,171,1359,+355,+59,1566
261,Oleg Kononov,Торпедо Москва,8,309,1501,+116,+14,1566
262,Ivan Leko,Standard,6,220,1502,+109,+18,1566
263,Kosta Runjaic,Udinese,6,351,1432,+228,+38,1565
264,Pascal Gastien,none (since 2024-06-30),3,347,1462,+152,+51,1563
265,Vítězslav Lavička,none (since 2021-03-21),6,379,1550,+24,+4,1563
266,Markus Anfang,Lautern,5,117,1499,+107,+21,1563
267,Viktor Goncharenko,none (since 2024-05-29),7,513,1529,+58,+8,1562
268,Edward Iordanescu,none (since 2021-11-14),7,184,1432,+227,+32,1561
269,Igor Cherevtchenko,Факел Воронеж,6,133,1504,+98,+16,1561
270,Neil Lennon,Rapid Bucuresti,6,447,1478,+140,+23,1560
271,Gracia,none (since 2023-05-03),11,368,1615,-101,-9,1560
272,Barak Bakhar,מכבי חיפה,5,470,1497,+103,+21,1559
273,Florian Kohfeldt,none (since 2024-03-16),3,186,1619,-90,-30,1559
274,Heiko Herrlich,none (since 2021-04-25),4,119,1575,-27,-7,1559
275,Leonid Slutskiy,none (since 2022-11-15),7,582,1572,-25,-4,1558
276,Tim Walter,Hull,4,146,1557,+1,+0,1558
277,David Guion,none (since 2024-08-05),5,246,1533,+40,+8,1557
278,Stefano Colantuono,none (since 2024-06-19),13,539,1555,+3,+0,1557
279,Etxeberria,Eibar,3,124,1524,+49,+16,1556
280,Rolando Maran,Brescia,11,490,1542,+23,+2,1555
281,Patrice Garande,none (since 2022-05-15),3,300,1517,+54,+18,1553
282,Carlos Carvalhal,Braga,18,530,1513,+73,+4,1552
283,Mark Warburton,none (since 2022-06-30),4,244,1418,+214,+54,1551
284,Ran Ben Shimon,none (since 2023-06-30),8,383,1332,+388,+49,1550
285,David Wagner,none (since 2024-05-17),4,280,1554,-8,-2,1549
286,Hein Vanhaezebrouck,none (since 2024-06-30),6,602,1512,+63,+10,1549
287,Andrea Mandorlini,none (since 2024-01-23),8,370,1522,+46,+6,1548
288,René Weiler,none (since 2024-06-30),6,233,1501,+82,+14,1548
289,Joseph Oosting,Twente,3,115,1496,+78,+26,1548
290,Achim Beierlorzer,none (since 2021-12-08),5,119,1495,+88,+18,1548
291,Filippo Inzaghi,Pisa,8,268,1504,+78,+10,1547
292,Alain Casanova,none (since 2022-06-30),4,370,1590,-69,-17,1547
293,İsmail Kartal,none (since 2024-05-31),8,186,1507,+68,+9,1545
294,Francesco Farioli,Ajax,4,108,1536,+14,+4,1545
295,Carrión,Las Palmas,6,226,1507,+65,+11,1545
296,Natxo González,none (since 2022-04-02),6,178,1501,+73,+12,1544
297,Martí,none (since 2022-05-02),5,169,1574,-50,-10,1544
298,Paolo Zanetti,Verona,4,141,1497,+75,+19,1544
299,Heiko Vogel,none (since 2023-10-29),4,104,1604,-99,-25,1541
300,Olivier Pantaloni,Lorient,5,578,1445,+161,+32,1541
301,Marius Şumudică,none (since 2024-03-06),11,354,1428,+207,+19,1541
302,Raymond Domenech,none (since 2021-02-10),2,163,1542,-1,-1,1541
303,Fabio Pecchia,Parma,4,228,1487,+83,+21,1539
304,José Anigo,none (since 2023-06-30),6,122,1532,+11,+2,1539
305,Valérien Ismaël,none (since 2024-03-09),8,200,1567,-52,-6,1538
306,Lito Vidigal,none (since 2022-01-05),11,213,1455,+153,+14,1538
307,Eugenio Corini,none (since 2024-04-02),10,278,1481,+102,+10,1537
308,Aleksandar Stanojević,Partizan,6,210,1512,+42,+7,1536
309,Łukasz Kwasniok,Paderborn,2,107,1516,+26,+13,1536
310,Gennaro Gattuso,Hajduk,10,259,1605,-127,-13,1536
