"","League","Team","Season","Gen..Role","DAVIES_TOTAL","DAVIES_weighted","League_DAVIES","Raw_League_DAVIES","SD_League","Raw_SD_League","Z"
"2514","EFL Championship","West Bromwich Albion","2023-2024","Midfielder",-2.62,-0.699381093683764,1.12244060808363,0.781739130434783,2.2786808737615,3.4986070633038,-0.799507172217604
"2515","EFL Championship","West Bromwich Albion","2023-2024","Wide Def",5.34,2.75954300636527,1.2881911518283,1.80291666666667,1.1130640501113,3.23781257234312,1.32189324988966
"2516","EFL Championship","Wigan Athletic","2018-2019","Central Def",-2,0.870614025276815,1.80130189432554,2.37375,1.37869467968453,4.88064394584229,-0.675050018515838
"2517","EFL Championship","Wigan Athletic","2018-2019","Creator",-4.19,-2.06103714085494,1.56749908903012,2.32826086956522,2.49343839127085,5.91525197509402,-1.45523396230202
"2518","EFL Championship","Wigan Athletic","2018-2019","Deep Midfielder",-0.0899999999999999,0.996848537756438,1.13118420989644,0.636521739130435,2.27042703824327,3.01452786699171,-0.0591675794364869
"2519","EFL Championship","Wigan Athletic","2018-2019","Dribbler",1.65,1.02042986425339,1.30995638159445,0.74,2.01932998540413,4.68979549854595,-0.143377516024512
"2520","EFL Championship","Wigan Athletic","2018-2019","Finisher",-2.06,-0.261716398204383,2.73108943751762,3.48833333333333,2.5887771060129,5.50994489569752,-1.15606933821018
"2521","EFL Championship","Wigan Athletic","2018-2019","Midfielder",0.25,0.774710606480199,1.53918550734683,1.19304347826087,1.68659721369414,2.86189929748285,-0.453264653030113
"2522","EFL Championship","Wigan Athletic","2018-2019","Wide Def",4.69,1.59908553742262,1.28374829286125,1.28958333333333,1.17673045237305,4.39181499488257,0.267977465804044
"2523","EFL Championship","Wigan Athletic","2019-2020","Central Def",-6.26,-0.0773405339311187,0.891273551299456,0.0025,0.780752796085923,3.27988765714289,-1.24061558291746
"2524","EFL Championship","Wigan Athletic","2019-2020","Creator",-4.81,-1.39117370892019,1.7199200528936,2.11666666666667,2.04121118169517,4.06613336964126,-1.52414105395509
"2525","EFL Championship","Wigan Athletic","2019-2020","Deep Midfielder",3.65,3.54600755667506,1.45916338962147,1.15333333333333,2.1820965177575,2.83744935471626,0.95634824127679
"2526","EFL Championship","Wigan Athletic","2019-2020","Dribbler",4,1.93518412242946,2.52821401451051,4.23541666666667,2.56399700176235,5.63690709147942,-0.231291180010522
"2527","EFL Championship","Wigan Athletic","2019-2020","Finisher",1.62,1.98603476371537,2.59998467837922,3.03208333333333,2.61075799567745,4.41615707341818,-0.235161556789387
"2528","EFL Championship","Wigan Athletic","2019-2020","Midfielder",1.46,1.19543933054393,0.891759865529379,0.374347826086956,1.51105462305494,2.35995536569301,0.200971864538289
"2529","EFL Championship","Wigan Athletic","2019-2020","Wide Def",4.39,2.78603862880532,1.43385423639896,2.11708333333333,1.64862132270246,4.90689530741904,0.820191012809316
"2530","EFL Championship","Wigan Athletic","2022-2023","Central Def",-6.07,-0.140743104380746,1.23183276417553,1.17833333333333,0.951697693482137,3.84987822130007,-1.44223935600201
"2531","EFL Championship","Wigan Athletic","2022-2023","Creator",-1.3,-0.294518044769301,1.51070526575811,1.49208333333333,1.67561799328584,3.56063133039837,-1.07734777124672
