"Team","Comp","Season","Player","Nation","Pos","Age","WeeklyWageEUR","WeeklyWageGBP","WeeklyWageUSD","AnnualWageEUR","AnnualWageGBP","AnnualWageUSD","Notes","Url","WeeklyWageEUR_num"
"Bayern Munich","Bundesliga","2017-2018","Robert Lewandowski","POL","FW",28,303846,263928,333009,15800000,13724269,17316456,"Unverified estimation","https://fbref.com/en/players/8d78e732/Robert-Lewandowski",303846
"Bayern Munich","Bundesliga","2017-2018","Franck Ribéry","FRA","MF,FW",34,303846,263928,333009,15800000,13724269,17316456,"Unverified estimation","https://fbref.com/en/players/f61c7c4e/Franck-Ribery",303846
"Bayern Munich","Bundesliga","2017-2018","Thomas Müller","GER","MF,FW",27,286538,248894,314040,14900000,12942507,16330075,"Unverified estimation","https://fbref.com/en/players/3c6089ab/Thomas-Muller",286538
"Bayern Munich","Bundesliga","2017-2018","Manuel Neuer","GER","GK",31,285769,248226,313197,14860000,12907762,16286236,"Unverified estimation","https://fbref.com/en/players/8778c910/Manuel-Neuer",285769
"Bayern Munich","Bundesliga","2017-2018","Thiago Alcántara","ESP","MF",26,227885,197946,249757,11850000,10293202,12987342,"Unverified estimation","https://fbref.com/en/players/77e84962/Thiago-Alcantara",227885
"Bayern Munich","Bundesliga","2017-2018","Jérôme Boateng","GER","DF",28,227885,197946,249757,11850000,10293202,12987342,"Unverified estimation","https://fbref.com/en/players/2db2fd7b/Jerome-Boateng",227885
"Bayern Munich","Bundesliga","2017-2018","Arturo Vidal","CHI","MF",30,224808,195274,246384,11690000,10154222,12811985,"Unverified estimation","https://fbref.com/en/players/67cdbc0e/Arturo-Vidal",224808
"Bayern Munich","Bundesliga","2017-2018","James Rodríguez","COL","MF,FW",26,211731,183915,232052,11010000,9563557,12066720,"Unverified estimation","https://fbref.com/en/players/715bf047/James-Rodriguez",211731
"Bayern Munich","Bundesliga","2017-2018","Mats Hummels","GER","DF",28,189808,164872,208025,9870000,8573325,10817305,"Unverified estimation","https://fbref.com/en/players/05d548d8/Mats-Hummels",189808
"Bayern Munich","Bundesliga","2017-2018","David Alaba","AUT","DF",25,189808,164872,208025,9870000,8573325,10817305,"Unverified estimation","https://fbref.com/en/players/05439de2/David-Alaba",189808
"Bayern Munich","Bundesliga","2017-2018","Kingsley Coman","FRA","FW,MF",21,153846,133635,168612,8e+06,6948997,8767826,"Unverified estimation","https://fbref.com/en/players/042e8a49/Kingsley-Coman",153846
"Bayern Munich","Bundesliga","2017-2018","Niklas Süle","GER","DF",21,134615,116930,147536,7e+06,6080372,7671847,"Unverified estimation","https://fbref.com/en/players/e33c06cf/Niklas-Sule",134615
"Bayern Munich","Bundesliga","2017-2018","Corentin Tolisso","FRA","MF",22,133269,115761,146060,6930000,6019569,7595129,"Unverified estimation","https://fbref.com/en/players/652d4c37/Corentin-Tolisso",133269
"Bayern Munich","Bundesliga","2017-2018","Arjen Robben","NED","FW,MF",33,132885,115427,145639,6910000,6002196,7573209,"Unverified estimation","https://fbref.com/en/players/09586899/Arjen-Robben",132885
"Bayern Munich","Bundesliga","2017-2018","Javi Martínez","ESP","MF,DF",28,113846,98890,124773,5920000,5142258,6488191,"Unverified estimation","https://fbref.com/en/players/7f97771d/Javi-Martinez",113846
"Bayern Munich","Bundesliga","2017-2018","Rafinha","BRA","DF",31,95000,82519,104118,4940000,4291006,5414132,"Unverified estimation","https://fbref.com/en/players/d003e213/Rafinha",95000
"Bayern Munich","Bundesliga","2017-2018","Sebastian Rudy","GER","MF",27,76154,66149,83463,3960000,3439753,4340074,"Unverified estimation","https://fbref.com/en/players/80f36c88/Sebastian-Rudy",76154
"Bayern Munich","Bundesliga","2017-2018","Sandro Wagner","GER","FW",29,57115,49612,62597,2970000,2579815,3255055,"Unverified estimation","https://fbref.com/en/players/61b0b44d/Sandro-Wagner",57115
"Bayern Munich","Bundesliga","2017-2018","Sven Ulreich","GER","GK",28,48077,41761,52691,2500000,2171562,2739946,"Unverified estimation","https://fbref.com/en/players/7d3e7da6/Sven-Ulreich",48077
"Bayern Munich","Bundesliga","2017-2018","Juan Bernat","ESP","DF",24,47692,41427,52270,2480000,2154189,2718026,"Unverified estimation","https://fbref.com/en/players/433dc9a2/Juan-Bernat",47692
"Bayern Munich","Bundesliga","2017-2018","Joshua Kimmich","GER","DF",22,28654,24889,31404,1490000,1294251,1633008,"Unverified estimation","https://fbref.com/en/players/49296448/Joshua-Kimmich",28654
"Bayern Munich","Bundesliga","2017-2018","Marco Friedl","AUT","DF",19,5769,5011,6323,3e+05,260587,328793,"Unverified estimation","https://fbref.com/en/players/f86ad3f5/Marco-Friedl",5769
"Bayern Munich","Bundesliga","2017-2018","Fabian Benko","GER","MF",19,3846,3341,4215,2e+05,173725,219196,"Unverified estimation","https://fbref.com/en/players/d32df57e/Fabian-Benko",3846
"Bayern Munich","Bundesliga","2017-2018","Niklas Dorsch","GER","MF",19,3846,3341,4215,2e+05,173725,219196,"Unverified estimation","https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch",3846
"Bayern Munich","Bundesliga","2017-2018","Tom Starke","GER","GK",36,1923,1670,2108,1e+05,86862,109598,"Unverified estimation","https://fbref.com/en/players/5b52d1f7/Tom-Starke",1923
"Bayern Munich","Bundesliga","2017-2018","Felix Götze","GER","DF,MF",19,1731,1503,1897,90000,78176,98638,"Unverified estimation","https://fbref.com/en/players/ee7cdd0c/Felix-Gotze",1731
"Bayern Munich","Bundesliga","2017-2018","Miloš Pantović","SRB","FW,MF",21,1538,1336,1686,80000,69490,87678,"Unverified estimation","https://fbref.com/en/players/5dc15574/Milos-Pantovic",1538
"Bayern Munich","Bundesliga","2017-2018","Manuel Wintzheimer","GER","FW",18,1538,1336,1686,80000,69490,87678,"Unverified estimation","https://fbref.com/en/players/21ec261e/Manuel-Wintzheimer",1538
"Bayern Munich","Bundesliga","2017-2018","Leo Weinkauf","GER","GK",21,1154,1002,1265,60000,52117,65759,"Unverified estimation","https://fbref.com/en/players/d120d6dc/Leo-Weinkauf",1154
"Bayern Munich","Bundesliga","2017-2018","Meritan Shabani","ALB","FW",18,769,668,843,40000,34745,43839,"Unverified estimation","https://fbref.com/en/players/012c38ec/Meritan-Shabani",769
"Bayern Munich","Bundesliga","2017-2018","Christian Früchtl","GER","GK",17,385,334,422,20000,17372,21920,"Unverified estimation","https://fbref.com/en/players/1940be91/Christian-Fruchtl",385
"Bayern Munich","Bundesliga","2017-2018","Timmy Tillman","GER","",18,385,334,422,20000,17372,21920,"Unverified estimation","https://fbref.com/en/players/a5bea1fb/Timmy-Tillman",385
"Bayern Munich","Bundesliga","2017-2018","Franck Evina","CMR","FW",17,385,334,422,20000,17372,21920,"Unverified estimation","https://fbref.com/en/players/44e471ca/Franck-Evina",385
"Bayern Munich","Bundesliga","2017-2018","Renato Sanches","POR","MF",19,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/032f894e/Renato-Sanches",NA
"Bayern Munich","Bundesliga","2017-2018","Ron-Thorben Hoffmann","GER","GK",18,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/f72f1743/Ron-Thorben-Hoffmann",NA
"Bayern Munich","Bundesliga","2017-2018","Lars Lukas Mai","GER","DF",17,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/95173427/Lars-Lukas-Mai",NA
"Bayern Munich","Bundesliga","2017-2018","Kwasi Okyere Wriedt","GHA","MF",23,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/7124239e/Kwasi-Okyere-Wriedt",NA
"Bayern Munich","Bundesliga","2017-2018","Jonathan Meier","GER","DF,MF",17,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/7fd0352e/Jonathan-Meier",NA
"Schalke 04","Bundesliga","2017-2018","Nabil Bentaleb","ALG","MF",22,95000,82519,104118,4940000,4291006,5414132,"Unverified estimation","https://fbref.com/en/players/3189f61a/Nabil-Bentaleb",95000
"Schalke 04","Bundesliga","2017-2018","Matija Nastasić","SRB","DF",24,76923,66817,84306,4e+06,3474498,4383913,"Unverified estimation","https://fbref.com/en/players/f35430a4/Matija-Nastasic",76923
"Schalke 04","Bundesliga","2017-2018","Breel Embolo","SUI","FW,MF",20,76154,66149,83463,3960000,3439753,4340074,"Unverified estimation","https://fbref.com/en/players/0b4f388a/Breel-Embolo",76154
"Schalke 04","Bundesliga","2017-2018","Franco Di Santo","ARG","FW,MF",28,76154,66149,83463,3960000,3439753,4340074,"Unverified estimation","https://fbref.com/en/players/549c6ba7/Franco-Di-Santo",76154
"Schalke 04","Bundesliga","2017-2018","Ralf Fährmann","GER","GK",28,56923,49445,62386,2960000,2571129,3244095,"Unverified estimation","https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann",56923
"Schalke 04","Bundesliga","2017-2018","Naldo","BRA","DF",34,56923,49445,62386,2960000,2571129,3244095,"Unverified estimation","https://fbref.com/en/players/03bd0bf4/Naldo",56923
"Schalke 04","Bundesliga","2017-2018","Marko Pjaca","CRO","FW,MF",22,52885,45937,57960,2750000,2388718,3013940,"Unverified estimation","https://fbref.com/en/players/2c38b327/Marko-Pjaca",52885
"Schalke 04","Bundesliga","2017-2018","Daniel Caligiuri","ITA","DF,MF",29,48077,41761,52691,2500000,2171562,2739946,"Unverified estimation","https://fbref.com/en/players/d1273f09/Daniel-Caligiuri",48077
"Schalke 04","Bundesliga","2017-2018","Bastian Oczipka","GER","DF,MF",28,47692,41427,52270,2480000,2154189,2718026,"Unverified estimation","https://fbref.com/en/players/d1661819/Bastian-Oczipka",47692
"Schalke 04","Bundesliga","2017-2018","Alessandro Schöpf","AUT","DF,FW",23,37885,32908,41521,1970000,1711190,2159077,"Unverified estimation","https://fbref.com/en/players/106bca06/Alessandro-Schopf",37885
"Schalke 04","Bundesliga","2017-2018","Benjamin Stambouli","FRA","DF,MF",26,37692,32740,41310,1960000,1702504,2148117,"Unverified estimation","https://fbref.com/en/players/5939baa2/Benjamin-Stambouli",37692
"Schalke 04","Bundesliga","2017-2018","Leon Goretzka","GER","MF",22,34231,29734,37516,1780000,1546152,1950841,"Unverified estimation","https://fbref.com/en/players/cc86b9a3/Leon-Goretzka",34231
"Schalke 04","Bundesliga","2017-2018","Pablo Insua","ESP","DF",23,29808,25892,32669,1550000,1346368,1698766,"Unverified estimation","https://fbref.com/en/players/4b5e7e90/Pablo-Insua",29808
"Schalke 04","Bundesliga","2017-2018","Amine Harit","MAR","MF,FW",20,28654,24889,31404,1490000,1294251,1633008,"Unverified estimation","https://fbref.com/en/players/e7d59f4f/Amine-Harit",28654
"Schalke 04","Bundesliga","2017-2018","Sascha Riether","GER","DF,MF",34,19808,17205,21709,1030000,894683,1128858,"Unverified estimation","https://fbref.com/en/players/3cb009c5/Sascha-Riether",19808
"Schalke 04","Bundesliga","2017-2018","Guido Burgstaller","AUT","FW",28,19038,16537,20866,990000,859938,1085018,"Unverified estimation","https://fbref.com/en/players/2bcc6d52/Guido-Burgstaller",19038
"Schalke 04","Bundesliga","2017-2018","Weston McKennie","USA","MF",18,14808,12862,16229,770000,668841,843903,"Unverified estimation","https://fbref.com/en/players/01c3aff5/Weston-McKennie",14808
"Schalke 04","Bundesliga","2017-2018","Cedric Teuchert","GER","FW",20,10577,9187,11592,550000,477744,602788,"Unverified estimation","https://fbref.com/en/players/f956479d/Cedric-Teuchert",10577
"Schalke 04","Bundesliga","2017-2018","Bernard Tekpetey","GHA","FW,MF",19,4423,3842,4848,230000,199784,252075,"Unverified estimation","https://fbref.com/en/players/7bf8ad6c/Bernard-Tekpetey",4423
"Schalke 04","Bundesliga","2017-2018","Alexander Nübel","GER","GK",20,4423,3842,4848,230000,199784,252075,"Unverified estimation","https://fbref.com/en/players/afb0c500/Alexander-Nubel",4423
"Schalke 04","Bundesliga","2017-2018","Thilo Kehrer","GER","DF",20,4423,3842,4848,230000,199784,252075,"Unverified estimation","https://fbref.com/en/players/51dbeea9/Thilo-Kehrer",4423
"Schalke 04","Bundesliga","2017-2018","Michael Langer","AUT","",32,962,835,1054,50000,43431,54799,"Unverified estimation","https://fbref.com/en/players/d20f088b/Michael-Langer",962
"Schalke 04","Bundesliga","2017-2018","Johannes Geis","GER","DF,MF",23,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/294450ba/Johannes-Geis",NA
"Schalke 04","Bundesliga","2017-2018","Baba Rahman","GHA","DF",23,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/e4086af3/Baba-Rahman",NA
"Schalke 04","Bundesliga","2017-2018","Fabian Reese","GER","FW,MF",19,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/b1823b08/Fabian-Reese",NA
"Schalke 04","Bundesliga","2017-2018","Max Meyer","GER","MF",21,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/eba42d2b/Max-Meyer",NA
"Schalke 04","Bundesliga","2017-2018","Coke","ESP","MF",30,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/6d8f8441/Coke",NA
"Schalke 04","Bundesliga","2017-2018","Benedikt Höwedes","GER","DF",29,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/d5c04323/Benedikt-Howedes",NA
"Schalke 04","Bundesliga","2017-2018","Yevhen Konoplyanka","UKR","FW,MF",27,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/d9a5d930/Yevhen-Konoplyanka",NA
"Hoffenheim","Bundesliga","2017-2018","Serge Gnabry","GER","DF",22,84615,73499,92737,4400000,3821948,4822304,"Unverified estimation","https://fbref.com/en/players/88e357ef/Serge-Gnabry",84615
"Hoffenheim","Bundesliga","2017-2018","Ádám Szalai","HUN","FW",29,57115,49612,62597,2970000,2579815,3255055,"Unverified estimation","https://fbref.com/en/players/53e07d0b/Adam-Szalai",57115
"Hoffenheim","Bundesliga","2017-2018","Jeremy Toljan","GER","DF,FW",22,57115,49612,62597,2970000,2579815,3255055,"Unverified estimation","https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan",57115
"Hoffenheim","Bundesliga","2017-2018","Sandro Wagner","GER","FW",29,57115,49612,62597,2970000,2579815,3255055,"Unverified estimation","https://fbref.com/en/players/61b0b44d/Sandro-Wagner",57115
"Hoffenheim","Bundesliga","2017-2018","Oliver Baumann","GER","GK",27,57115,49612,62597,2970000,2579815,3255055,"Unverified estimation","https://fbref.com/en/players/47064058/Oliver-Baumann",57115
"Hoffenheim","Bundesliga","2017-2018","Andrej Kramarić","CRO","FW",26,47500,41260,52059,2470000,2145503,2707066,"Unverified estimation","https://fbref.com/en/players/603cb947/Andrej-Kramaric",47500
"Hoffenheim","Bundesliga","2017-2018","Lukas Rupp","GER","MF,FW",26,38077,33075,41731,1980000,1719877,2170037,"Unverified estimation","https://fbref.com/en/players/3faa1780/Lukas-Rupp",38077
"Hoffenheim","Bundesliga","2017-2018","Eugen Polanski","POL","MF",31,38077,33075,41731,1980000,1719877,2170037,"Unverified estimation","https://fbref.com/en/players/fb2a63bb/Eugen-Polanski",38077
"Hoffenheim","Bundesliga","2017-2018","Pavel Kadeřábek","CZE","FW,MF",25,37692,32740,41310,1960000,1702504,2148117,"Unverified estimation","https://fbref.com/en/players/79c90e45/Pavel-Kaderabek",37692
"Hoffenheim","Bundesliga","2017-2018","Nadiem Amiri","GER","MF,FW",20,28462,24722,31193,1480000,1285564,1622048,"Unverified estimation","https://fbref.com/en/players/555d5edd/Nadiem-Amiri",28462
"Hoffenheim","Bundesliga","2017-2018","Kerem Demirbay","GER","MF",24,27308,23720,29929,1420000,1233447,1556289,"Unverified estimation","https://fbref.com/en/players/54b4dc4e/Kerem-Demirbay",27308
"Hoffenheim","Bundesliga","2017-2018","Nico Schulz","GER","FW,MF",24,24808,21549,27189,1290000,1120526,1413812,"Unverified estimation","https://fbref.com/en/players/fa274d97/Nico-Schulz",24808
"Hoffenheim","Bundesliga","2017-2018","Benjamin Hübner","GER","DF",28,19808,17205,21709,1030000,894683,1128858,"Unverified estimation","https://fbref.com/en/players/99de6b6f/Benjamin-Hubner",19808
"Hoffenheim","Bundesliga","2017-2018","Ermin Bičakčić","BIH","DF",27,19038,16537,20866,990000,859938,1085018,"Unverified estimation","https://fbref.com/en/players/7aac47fe/Ermin-Bicakcic",19038
"Hoffenheim","Bundesliga","2017-2018","Felix Passlack","GER","DF",19,19038,16537,20866,990000,859938,1085018,"Unverified estimation","https://fbref.com/en/players/5c899683/Felix-Passlack",19038
"Hoffenheim","Bundesliga","2017-2018","Florian Grillitsch","AUT","MF",21,19038,16537,20866,990000,859938,1085018,"Unverified estimation","https://fbref.com/en/players/ffbbc83b/Florian-Grillitsch",19038
"Hoffenheim","Bundesliga","2017-2018","Kevin Vogt","GER","DF",25,19038,16537,20866,990000,859938,1085018,"Unverified estimation","https://fbref.com/en/players/1d8e9add/Kevin-Vogt",19038
"Hoffenheim","Bundesliga","2017-2018","Dennis Geiger","GER","MF",19,15192,13196,16650,790000,686213,865823,"Unverified estimation","https://fbref.com/en/players/37f606f0/Dennis-Geiger",15192
"Hoffenheim","Bundesliga","2017-2018","Mark Uth","GER","FW,MF",25,14808,12862,16229,770000,668841,843903,"Unverified estimation","https://fbref.com/en/players/a3ddb1b9/Mark-Uth",14808
"Hoffenheim","Bundesliga","2017-2018","Steven Zuber","SUI","FW,DF",25,14808,12862,16229,770000,668841,843903,"Unverified estimation","https://fbref.com/en/players/b6a6e0a7/Steven-Zuber",14808
"Hoffenheim","Bundesliga","2017-2018","Robert Žulj","AUT","FW",25,12885,11192,14121,670000,581978,734305,"Unverified estimation","https://fbref.com/en/players/f2e3b81c/Robert-Zulj",12885
"Hoffenheim","Bundesliga","2017-2018","Kevin Akpoguma","NGA","DF",22,11346,9856,12435,590000,512489,646627,"Unverified estimation","https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma",11346
"Hoffenheim","Bundesliga","2017-2018","Justin Hoogma","NED","DF",19,6923,6014,7588,360000,312705,394552,"Unverified estimation","https://fbref.com/en/players/816192f0/Justin-Hoogma",6923
"Hoffenheim","Bundesliga","2017-2018","Robin Hack","GER","MF",18,4423,3842,4848,230000,199784,252075,"Unverified estimation","https://fbref.com/en/players/0174ba21/Robin-Hack",4423
"Hoffenheim","Bundesliga","2017-2018","Gregor Kobel","SUI","GK",19,2885,2506,3161,150000,130294,164397,"Unverified estimation","https://fbref.com/en/players/cd59b9df/Gregor-Kobel",2885
"Hoffenheim","Bundesliga","2017-2018","David Otto","GER","MF",18,2500,2172,2740,130000,112921,142477,"Unverified estimation","https://fbref.com/en/players/676ff98c/David-Otto",2500
"Hoffenheim","Bundesliga","2017-2018","Stefan Posch","AUT","DF",20,1923,1670,2108,1e+05,86862,109598,"Unverified estimation","https://fbref.com/en/players/7f609bfc/Stefan-Posch",1923
"Hoffenheim","Bundesliga","2017-2018","Meris Skenderović","MNE","MF",19,1154,1002,1265,60000,52117,65759,"Unverified estimation","https://fbref.com/en/players/6257811f/Meris-Skenderovic",1154
"Hoffenheim","Bundesliga","2017-2018","Alexander Stolz","GER","GK",33,962,835,1054,50000,43431,54799,"Unverified estimation","https://fbref.com/en/players/99cf1943/Alexander-Stolz",962
"Hoffenheim","Bundesliga","2017-2018","Maximilian Waack","GER","MF",21,769,668,843,40000,34745,43839,"Unverified estimation","https://fbref.com/en/players/11447a4b/Maximilian-Waack",769
"Hoffenheim","Bundesliga","2017-2018","Nicolas Wähling","GER","MF",19,769,668,843,40000,34745,43839,"Unverified estimation","https://fbref.com/en/players/41369eb5/Nicolas-Wahling",769
"Hoffenheim","Bundesliga","2017-2018","Alexander Rossipal","GER","DF",21,769,668,843,40000,34745,43839,"Unverified estimation","https://fbref.com/en/players/98daa26a/Alexander-Rossipal",769
"Hoffenheim","Bundesliga","2017-2018","Johannes Bühler","GER","FW",20,577,501,632,30000,26059,32879,"Unverified estimation","https://fbref.com/en/players/6b8b53d7/Johannes-Buhler",577
"Hoffenheim","Bundesliga","2017-2018","Håvard Nordtveit","NOR","DF,MF",27,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/6cafd68d/Havard-Nordtveit",NA
"Hoffenheim","Bundesliga","2017-2018","Philipp Ochs","GER","MF,FW",20,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/78952998/Philipp-Ochs",NA
"Hoffenheim","Bundesliga","2017-2018","Simon Lorenz","GER","DF",20,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/435f829f/Simon-Lorenz",NA
"Dortmund","Bundesliga","2017-2018","Marco Reus","GER","FW,MF",28,189808,164872,208025,9870000,8573325,10817305,"Unverified estimation","https://fbref.com/en/players/36a3ff67/Marco-Reus",189808
"Dortmund","Bundesliga","2017-2018","Mario Götze","GER","MF",25,189808,164872,208025,9870000,8573325,10817305,"Unverified estimation","https://fbref.com/en/players/9efa1d25/Mario-Gotze",189808
"Dortmund","Bundesliga","2017-2018","André Schürrle","GER","DF",26,114231,99224,125194,5940000,5159630,6510111,"Unverified estimation","https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle",114231
"Dortmund","Bundesliga","2017-2018","Mahmoud Dahoud","GER","MF",21,95000,82519,104118,4940000,4291006,5414132,"Unverified estimation","https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud",95000
"Dortmund","Bundesliga","2017-2018","Michy Batshuayi","BEL","FW",23,77692,67485,85149,4040000,3509243,4427752,"Unverified estimation","https://fbref.com/en/players/2973d8ff/Michy-Batshuayi",77692
"Dortmund","Bundesliga","2017-2018","Shinji Kagawa","JPN","MF,FW",28,76154,66149,83463,3960000,3439753,4340074,"Unverified estimation","https://fbref.com/en/players/5afafbfe/Shinji-Kagawa",76154
"Dortmund","Bundesliga","2017-2018","Julian Weigl","GER","MF",21,75962,65982,83252,3950000,3431067,4329114,"Unverified estimation","https://fbref.com/en/players/346d51d9/Julian-Weigl",75962
"Dortmund","Bundesliga","2017-2018","Maximilian Philipp","GER","FW,MF",23,75962,65982,83252,3950000,3431067,4329114,"Unverified estimation","https://fbref.com/en/players/061e8e23/Maximilian-Philipp",75962
"Dortmund","Bundesliga","2017-2018","Ömer Toprak","TUR","DF",28,66731,57964,73135,3470000,3014127,3803044,"Unverified estimation","https://fbref.com/en/players/c5fd13e9/Omer-Toprak",66731
"Dortmund","Bundesliga","2017-2018","Gonzalo Castro","GER","MF",30,66538,57797,72925,3460000,3005441,3792085,"Unverified estimation","https://fbref.com/en/players/68829001/Gonzalo-Castro",66538
"Dortmund","Bundesliga","2017-2018","Jeremy Toljan","GER","DF",22,57115,49612,62597,2970000,2579815,3255055,"Unverified estimation","https://fbref.com/en/players/a96e5dc0/Jeremy-Toljan",57115
"Dortmund","Bundesliga","2017-2018","Roman Weidenfeller","GER","GK",36,56923,49445,62386,2960000,2571129,3244095,"Unverified estimation","https://fbref.com/en/players/16b8fabd/Roman-Weidenfeller",56923
"Dortmund","Bundesliga","2017-2018","Sebastian Rode","GER","MF",26,56923,49445,62386,2960000,2571129,3244095,"Unverified estimation","https://fbref.com/en/players/e12b0b5b/Sebastian-Rode",56923
"Dortmund","Bundesliga","2017-2018","Roman Bürki","SUI","GK",26,47692,41427,52270,2480000,2154189,2718026,"Unverified estimation","https://fbref.com/en/players/9d12e142/Roman-Burki",47692
"Dortmund","Bundesliga","2017-2018","Marcel Schmelzer","GER","DF",29,47692,41427,52270,2480000,2154189,2718026,"Unverified estimation","https://fbref.com/en/players/89565ac5/Marcel-Schmelzer",47692
"Dortmund","Bundesliga","2017-2018","Manuel Akanji","SUI","DF",22,47500,41260,52059,2470000,2145503,2707066,"Unverified estimation","https://fbref.com/en/players/89ac64a6/Manuel-Akanji",47500
"Dortmund","Bundesliga","2017-2018","Nuri Şahin","TUR","MF",28,47500,41260,52059,2470000,2145503,2707066,"Unverified estimation","https://fbref.com/en/players/f4081572/Nuri-Sahin",47500
"Dortmund","Bundesliga","2017-2018","Łukasz Piszczek","POL","DF",32,37885,32908,41521,1970000,1711190,2159077,"Unverified estimation","https://fbref.com/en/players/fe2db476/Lukasz-Piszczek",37885
"Dortmund","Bundesliga","2017-2018","Raphaël Guerreiro","POR","MF,DF",23,37692,32740,41310,1960000,1702504,2148117,"Unverified estimation","https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro",37692
"Dortmund","Bundesliga","2017-2018","Erik Durm","GER","DF,FW",25,28462,24722,31193,1480000,1285564,1622048,"Unverified estimation","https://fbref.com/en/players/cf623c78/Erik-Durm",28462
"Dortmund","Bundesliga","2017-2018","Christian Pulisic","USA","FW,MF",18,28462,24722,31193,1480000,1285564,1622048,"Unverified estimation","https://fbref.com/en/players/1bf33a9a/Christian-Pulisic",28462
"Dortmund","Bundesliga","2017-2018","Jadon Sancho","ENG","FW",17,24808,21549,27189,1290000,1120526,1413812,"Unverified estimation","https://fbref.com/en/players/dbf053da/Jadon-Sancho",24808
"Dortmund","Bundesliga","2017-2018","Felix Passlack","GER","DF",19,19038,16537,20866,990000,859938,1085018,"Unverified estimation","https://fbref.com/en/players/5c899683/Felix-Passlack",19038
"Dortmund","Bundesliga","2017-2018","Alexander Isak","SWE","FW",17,14808,12862,16229,770000,668841,843903,"Unverified estimation","https://fbref.com/en/players/8e92be30/Alexander-Isak",14808
"Dortmund","Bundesliga","2017-2018","Jacob Bruun Larsen","DEN","DF",18,8462,7350,9274,440000,382195,482230,"Unverified estimation","https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen",8462
"Dortmund","Bundesliga","2017-2018","Dan-Axel Zagadou","FRA","DF",18,4423,3842,4848,230000,199784,252075,"Unverified estimation","https://fbref.com/en/players/a4effc55/Dan-Axel-Zagadou",4423
"Dortmund","Bundesliga","2017-2018","Dominik Reimann","GER","GK",20,769,668,843,40000,34745,43839,"Unverified estimation","https://fbref.com/en/players/4bdecfcd/Dominik-Reimann",769
"Dortmund","Bundesliga","2017-2018","Sergio Gómez","ESP","MF",16,385,334,422,20000,17372,21920,"Unverified estimation","https://fbref.com/en/players/01e5f06e/Sergio-Gomez",385
"Dortmund","Bundesliga","2017-2018","Marc Bartra","ESP","DF,MF",26,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/b742cc0d/Marc-Bartra",NA
"Dortmund","Bundesliga","2017-2018","Jan-Niklas Beste","GER","DF,FW",18,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/57382429/Jan-Niklas-Beste",NA
"Dortmund","Bundesliga","2017-2018","Neven Subotić","SRB","DF",28,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/821233cc/Neven-Subotic",NA
"Dortmund","Bundesliga","2017-2018","Andriy Yarmolenko","UKR","FW,MF",27,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/849c826a/Andriy-Yarmolenko",NA
"Dortmund","Bundesliga","2017-2018","Sokratis Papastathopoulos","GRE","DF",29,NA,NA,NA,NA,NA,NA,"","https://fbref.com/en/players/b682dcf6/Sokratis-Papastathopoulos",NA
"Bayer Leverkusen","Bundesliga","2017-2018","Sven Bender","GER","DF",28,95000,82519,104118,4940000,4291006,5414132,"Unverified estimation","https://fbref.com/en/players/070ec0b1/Sven-Bender",95000
"Bayer Leverkusen","Bundesliga","2017-2018","Kevin Volland","GER","FW,MF",25,95000,82519,104118,4940000,4291006,5414132,"Unverified estimation","https://fbref.com/en/players/64f69877/Kevin-Volland",95000
"Bayer Leverkusen","Bundesliga","2017-2018","Lars Bender","GER","DF,MF",28,76346,66316,83674,3970000,3448440,4351033,"Unverified estimation","https://fbref.com/en/players/c50281a0/Lars-Bender",76346
"Bayer Leverkusen","Bundesliga","2017-2018","Kevin Kampl","SVN","MF",26,76154,66149,83463,3960000,3439753,4340074,"Unverified estimation","https://fbref.com/en/players/b825a650/Kevin-Kampl",76154
